Lc[0]  0.198244 -2.17232 -0.426203
Lc[1]  1.54871 -3.53409 -1.46244
Lc[2]  0.604283 3.10357 -0.726749
Lc[3]  -0.0341421 0.0265145 0.078747
Lc[4]  1.39173 0.101318 1.73643
Lc[5]  -1.65248 -4.63406 -4.20459
Lc[6]  -0.203957 -2.19539 -1.91981
Lc[7]  -24.1437 4.41697 -15.594
Lc[8]  -7.02343 -1.39586 -10.3142
Lc[9]  -4.39906 -0.0238829 -2.53442
Lc[10]  5.55392 -7.72444 -0.485535
Lc[11]  -2.69133 -1.38158 -0.788133
Lc[12]  7.88179 -6.29114 -3.17663
Lc[13]  -0.860264 7.28128 -10.2581
Lc[14]  0.225839 0.750605 2.09895
Lc[15]  -3.48946 -7.89022 -13.8757
Lc[16]  -0.417917 0.0659152 -2.22356
Lc[17]  3.42761 -5.40525 -13.0047
Lc[18]  -1.28346 -0.774872 -4.01753
Lc[19]  -0.488978 -1.33694 0.195528
Lc[20]  -0.734973 -2.04103 -3.23354
Lc[21]  -10.0585 7.47445 -10.2519
Lc[22]  1.84585 -3.61985 -1.72147
Lc[23]  -1.00404 -2.70093 -7.77848
Lc[24]  -0.92103 -1.90055 -3.49984
Lc[25]  11.0487 10.5801 -16.3964
Lc[26]  -1.661 -1.25547 -5.71402
Lc[27]  0.303112 0.0978952 1.95085
Lc[28]  2.21511 -0.898873 2.93017
Lc[29]  1.40685 -4.63449 -4.13387
Lc[30]  -0.62558 -0.714778 -2.18314
Lc[31]  0.0720461 -0.428753 -0.400972
Lc[32]  -1.45881 -3.46977 -9.43337
Lc[33]  -12.3809 0.457763 -16.8424
Lc[34]  -2.76328 -3.26699 -1.78922
Lc[35]  0.163819 -5.82406 -4.57409
Lc[36]  -0.121258 -0.158371 -0.173851
Lc[37]  -0.828007 -1.57428 -2.95027
Lc[38]  -0.0467484 0.742889 1.55308
Lc[39]  0.216247 -5.45731 -7.10632
Lc[40]  1.07801 1.09661 6.91536
Lc[41]  1.05789 -6.62962 13.0673
Lc[42]  -1.79164 -1.25281 -0.662227
Lc[43]  -13.8059 -18.5152 -34.0206
Lc[44]  -0.448304 -0.0436215 -0.284561
Lc[45]  0.202068 -5.29763 13.2679
Lc[46]  -0.650692 3.97167 -3.99957
Lc[47]  -3.39736 4.71389 -6.06493
Lc[48]  -0.233237 0.283238 0.562192
