Curvature[0]  -0.0933525 1.04336 0.202465
Curvature[1]  -0.752754 1.72728 0.711433
Curvature[2]  -0.338775 -1.69783 0.395704
Curvature[3]  0.0124099 -0.00313737 -0.0324137
Curvature[4]  -0.638307 -0.0466738 -0.785134
Curvature[5]  0.757604 2.27487 2.0626
Curvature[6]  0.099992 1.13613 0.98555
Curvature[7]  11.8604 -2.16044 7.59295
Curvature[8]  3.44378 0.794542 5.22423
Curvature[9]  2.32044 -0.0483071 1.3178
Curvature[10]  -2.72141 3.83141 0.293679
Curvature[11]  1.28554 0.653538 0.369019
Curvature[12]  -3.53562 2.86345 1.44587
Curvature[13]  0.377774 -3.47285 4.9327
Curvature[14]  -0.12109 -0.410642 -1.15119
Curvature[15]  2.01372 4.072 7.09328
Curvature[16]  0.162352 -0.0168866 0.876975
Curvature[17]  -1.7363 2.67893 6.50614
Curvature[18]  0.644792 0.372152 1.97325
Curvature[19]  0.270964 0.717912 -0.110135
Curvature[20]  0.360302 1.03362 1.6097
Curvature[21]  4.91671 -3.73242 5.0104
Curvature[22]  -0.911543 1.72083 0.829933
Curvature[23]  0.569449 1.34853 3.93059
Curvature[24]  0.438488 0.942176 1.67232
Curvature[25]  -5.51676 -5.27204 8.22598
Curvature[26]  0.899508 0.69782 3.05447
Curvature[27]  -0.122322 -0.0588531 -0.759978
Curvature[28]  -1.09076 0.44704 -1.44165
Curvature[29]  -0.701159 2.35765 2.10744
Curvature[30]  0.452587 0.449927 1.47218
Curvature[31]  0.205941 -0.109094 -0.274475
Curvature[32]  0.720857 1.75746 4.82656
Curvature[33]  6.3734 -0.627168 8.54263
Curvature[34]  1.38648 1.64248 0.905698
Curvature[35]  -0.145445 2.98645 2.32029
Curvature[36]  0.0638887 -0.00259943 0.0286837
Curvature[37]  0.450048 0.827149 1.57869
Curvature[38]  0.0260476 -0.382956 -0.797598
Curvature[39]  -0.0998447 2.92924 3.7625
Curvature[40]  -0.536946 -0.614797 -3.33384
Curvature[41]  -0.572852 3.52805 -7.02202
Curvature[42]  0.912301 0.642964 0.335955
Curvature[43]  6.73432 8.99209 16.5957
Curvature[44]  0.242209 0.0748593 0.185499
Curvature[45]  -0.146567 2.71188 -7.13588
Curvature[46]  0.349996 -2.16779 2.13347
Curvature[47]  1.73462 -2.35311 2.99115
Curvature[48]  0.144188 -0.148451 -0.302025
Curvature[49]  0.0823572 1.27559 2.11347
Curvature[50]  0.20595 -1.0437 1.48651
Curvature[51]  -0.14919 2.12801 1.33833
Curvature[52]  0.00896507 -0.817314 -1.06539
Curvature[53]  0.0975528 -0.46329 -1.84265
Curvature[54]  -1.37707 3.14648 2.53939
Curvature[55]  0.113852 4.80748 3.23482
Curvature[56]  0.104565 -0.47122 -10.2899
Curvature[57]  -0.699403 -1.25249 2.07495
Curvature[58]  -0.0366096 -0.459023 0.412838
Curvature[59]  0.585321 -2.0666 3.3856
Curvature[60]  -0.391957 -0.292495 -0.430705
Curvature[61]  1.997 -2.8978 -12.8135
Curvature[62]  -0.335877 -0.90606 1.26824
Curvature[63]  -0.570259 -2.44954 3.82589
Curvature[64]  1.23292 0.815298 0.419557
Curvature[65]  -1.42096 1.72601 -2.89568
Curvature[66]  -2.03834 0.0928826 -1.17007
Curvature[67]  0.827854 3.47243 6.77886
Curvature[68]  1.17445 0.663627 0.408353
Curvature[69]  -0.367577 -4.01379 -7.8758
Curvature[70]  2.7869 -5.90721 -3.95715
Curvature[71]  0.344735 0.47296 -1.07868
Curvature[72]  -2.98405 2.22407 -10.8544
Curvature[73]  0.560206 -1.12203 6.17621
Curvature[74]  0.878069 -1.08095 2.33296
Curvature[75]  0.612723 0.50839 1.58735
Curvature[76]  -0.48385 -0.138825 3.52743
Curvature[77]  -0.0464792 -1.17668 3.7335
Curvature[78]  0.901826 1.63483 0.343127
Curvature[79]  -4.49986 -0.689283 -0.756152
Curvature[80]  -2.37089 -0.809577 -2.08394
Curvature[81]  -1.22356 3.57963 3.22828
Curvature[82]  -0.115183 0.798863 0.589474
Curvature[83]  -0.633397 0.208209 0.982531
Curvature[84]  -0.108548 -0.297717 -0.0845951
Curvature[85]  0.0524028 -0.115783 0.0657584
Curvature[86]  2.86855 -0.686486 -2.75009
Curvature[87]  -0.0749201 -0.276012 0.262535
Curvature[88]  -3.85617 -3.33971 8.13429
Curvature[89]  -0.427935 -0.543304 0.994757
Curvature[90]  -0.543233 -0.587215 2.06435
Curvature[91]  0.513009 -0.327561 2.01056
Curvature[92]  -0.556475 -0.345751 0.247863
Curvature[93]  -0.911093 0.303939 6.57172
Curvature[94]  -1.0243 1.63875 3.10082
Curvature[95]  3.7614 1.964 4.25223
Curvature[96]  0.74346 1.58744 1.94209
Curvature[97]  1.73708 3.94282 1.72761
Curvature[98]  2.47259 5.63399 3.95295
Curvature[99]  0.8193 0.364463 0.307473
Curvature[100]  -0.295159 -0.277392 1.66133
Curvature[101]  -0.898547 -0.251426 -5.78513
Curvature[102]  3.45817 -2.43788 -3.77522
Curvature[103]  -0.319212 -0.00775566 0.200735
Curvature[104]  1.07362 -1.52556 6.54761
Curvature[105]  -3.24571 -2.49501 7.45231
Curvature[106]  4.2895 7.59555 11.5439
Curvature[107]  -1.26382 1.15297 -7.18844
Curvature[108]  0.404207 -0.523457 4.87102
Curvature[109]  0.363239 2.60551 1.7648
Curvature[110]  -1.08745 -0.239556 2.05331
Curvature[111]  0.192243 -0.190217 1.58958
Curvature[112]  -16.3257 -4.62459 -3.72221
Curvature[113]  0.437213 1.08462 -3.62963
Curvature[114]  -2.63811 0.726656 13.8344
Curvature[115]  -0.358028 0.800331 -3.01182
Curvature[116]  0.030864 0.845404 0.874343
Curvature[117]  2.16753 1.75156 0.489074
Curvature[118]  -2.33197 -0.0426378 -8.37015
Curvature[119]  -0.382519 0.0598183 -1.06553
Curvature[120]  -0.549737 -1.08467 3.45662
Curvature[121]  0.0611539 1.21747 -4.51246
Curvature[122]  -4.39144 -3.03657 1.14089
Curvature[123]  -0.303604 0.310844 1.97651
Curvature[124]  0.249573 0.873073 4.05249
Curvature[125]  0.333125 0.729415 0.326805
Curvature[126]  -0.20362 0.886915 -0.259692
Curvature[127]  0.197095 0.165667 -0.446245
Curvature[128]  0.478759 -1.9722 3.97998
Curvature[129]  -0.43861 1.35592 1.05406
Curvature[130]  0.9922 2.10485 1.95657
Curvature[131]  -0.232406 1.24053 0.21815
Curvature[132]  2.53112 1.29742 -7.09727
Curvature[133]  -0.418634 -2.30976 5.67155
Curvature[134]  -0.0770013 -0.614467 -0.860187
Curvature[135]  -0.221712 0.571267 0.314101
Curvature[136]  3.76227 -3.29612 5.01913
Curvature[137]  0.0109347 0.835288 0.286331
Curvature[138]  -0.0652991 -0.246302 1.16682
Curvature[139]  -0.0308512 0.810766 1.10614
Curvature[140]  -0.181808 1.13553 1.23002
Curvature[141]  0.0100917 -0.440923 -0.324549
Curvature[142]  0.479536 1.77321 3.48672
Curvature[143]  2.35891 0.699473 7.74769
Curvature[144]  0.10547 -0.525525 3.20015
Curvature[145]  0.365058 -0.208703 0.996699
Curvature[146]  0.325276 0.131415 -1.15584
Curvature[147]  0.364347 -0.485595 3.69423
Curvature[148]  -0.413327 1.06959 1.29446
Curvature[149]  0.00804265 0.00497876 0.0563017
Curvature[150]  4.48985 6.01833 12.4577
Curvature[151]  0.0757243 2.246 1.23193
Curvature[152]  0.238834 0.730374 -0.342328
Curvature[153]  -0.180803 -0.611184 0.38686
Curvature[154]  -0.167985 0.0646151 -0.122071
Curvature[155]  -0.166437 -0.150854 1.11569
Curvature[156]  -0.649242 0.476488 -2.38448
Curvature[157]  -0.281653 -0.0288792 1.00356
Curvature[158]  0.846787 -0.116946 2.67547
Curvature[159]  1.20698 0.390789 -0.354342
Curvature[160]  -3.5522 -0.51133 -5.31028
Curvature[161]  -0.513865 1.83417 3.03842
Curvature[162]  1.38554 0.720432 0.643045
