Lu[0]  -0.000138918 -0.00178847 -0.000386716
Lu[1]  0.000826597 -0.00134171 -0.00116412
Lu[2]  6.8165e-005 -0.000874134 0.000519129
Lu[3]  0.00020847 -0.000660281 -0.00045331
Lu[4]  -0.00160825 -0.00129086 0.00160157
Lu[5]  -0.000817798 -0.00166736 -0.00079545
Lu[6]  -0.000342551 -0.00154827 -0.000728337
Lu[7]  -0.00163002 -8.22284e-005 0.000638106
Lu[8]  -0.000319204 -0.00118287 -6.5067e-005
Lu[9]  0.00119352 0.000113684 0.000706414
Lu[10]  0.000133106 -0.000976776 1.52023e-006
Lu[11]  4.90336e-005 -0.00025126 -0.000391217
Lu[12]  0.000714118 -0.000875575 -6.15643e-006
Lu[13]  0.00018927 0.000480114 -0.00166146
Lu[14]  -0.000535261 -0.00107527 -0.000799457
Lu[15]  5.91658e-005 -0.000812967 -0.000432068
Lu[16]  -0.000262944 0.00133241 -0.00104671
Lu[17]  0.00100367 0.000770607 -0.00148268
Lu[18]  0.000745028 0.000860186 -0.00134911
Lu[19]  5.62082e-005 -0.000713331 0.000460526
Lu[20]  0.000334406 -0.000479948 -0.000795851
Lu[21]  -0.0010587 0.000336631 5.89389e-005
Lu[22]  0.000483009 -0.000619386 -0.000711019
Lu[23]  0.000899639 0.000773028 -0.00145672
Lu[24]  0.000758768 0.000768162 -0.00135431
Lu[25]  0.0006199 0.00116563 -0.00127439
Lu[26]  -7.16466e-006 0.00126176 -0.000993894
Lu[27]  -0.000235233 0.00128329 -0.000911213
Lu[28]  -8.95691e-005 -0.000597607 0.000483849
Lu[29]  0.000852967 0.000677699 -0.00129395
Lu[30]  0.000576089 0.00084283 -0.0010646
Lu[31]  0.00057229 0.00106656 -0.000859143
Lu[32]  0.000424268 0.00115732 -0.0010022
Lu[33]  -0.000135981 -0.000927607 -0.000281095
Lu[34]  0.000111319 -0.000592515 -0.000281016
Lu[35]  -0.00128845 -0.000317718 -0.000570952
Lu[36]  0.000622623 0.000661412 -0.0011588
Lu[37]  0.000588736 0.000744708 -0.00114284
Lu[38]  0.000428635 0.000700826 -0.000897644
Lu[39]  0.000482064 0.00107046 -0.000791038
Lu[40]  6.23884e-005 0.0011792 -0.000834319
Lu[41]  -0.000168668 0.00119031 -0.000748497
Lu[42]  -0.00136257 -0.00136543 -0.000535614
Lu[43]  -0.000668344 -0.00165254 0.000416335
Lu[44]  0.00039901 0.00101075 -0.000600922
Lu[45]  5.01943e-005 0.00108489 -0.000670152
Lu[46]  -0.000335476 0.00116154 -0.000682158
Lu[47]  -0.000475433 0.00114141 -0.000650312
Lu[48]  6.19685e-005 -0.000509299 -0.000362032
Lu[49]  0.000409535 -0.000501065 -0.00200861
Lu[50]  -0.000734804 0.00116277 -0.000798764
Lu[51]  0.000605103 0.000588148 -0.0010616
Lu[52]  0.000431019 0.000636409 -0.000942685
Lu[53]  0.000383617 0.000728361 -0.000695043
Lu[54]  0.000516065 0.000986296 -0.000603966
Lu[55]  0.000471529 0.000999265 -0.000592272
Lu[56]  0.00025294 0.0010165 -0.00060689
Lu[57]  0.000199285 0.00093763 -0.000560352
Lu[58]  -0.000111564 0.00110815 -0.000674393
Lu[59]  -0.000205821 0.00107603 -0.000675552
Lu[60]  0.000435807 0.000920919 -0.000421143
Lu[61]  0.00036722 0.000920854 -0.000440294
Lu[62]  5.31004e-005 0.00101069 -0.000638416
Lu[63]  -6.01151e-005 0.00104334 -0.000667634
Lu[64]  -7.84654e-005 -0.000465182 -1.37076e-005
Lu[65]  -0.000743826 0.00110162 -0.000811791
Lu[66]  0.00112125 -3.07881e-005 0.000662498
Lu[67]  0.000162159 -0.000642981 -0.000569446
Lu[68]  0.000197748 -0.000154918 -0.000561802
Lu[69]  0.000277778 0.000653809 -0.000165063
Lu[70]  0.000410184 0.000833401 -0.000257511
Lu[71]  0.000291624 0.000778228 -0.000498129
Lu[72]  -0.000185025 0.00102087 -0.000692783
Lu[73]  -0.0002651 0.0010283 -0.000686281
Lu[74]  -0.000394947 0.00107344 -0.000662525
Lu[75]  0.000233075 -0.000130141 -0.00195075
Lu[76]  -0.000843251 0.000761663 -0.000898708
Lu[77]  -0.000806551 0.000941882 -0.000862793
Lu[78]  -0.000953909 -0.00186471 -0.000487968
Lu[79]  0.000578504 0.000219662 -0.000274422
Lu[80]  0.00108565 3.90082e-005 0.000705574
Lu[81]  0.000219204 -0.000772129 -0.00051396
Lu[82]  1.02499e-005 -0.000520367 -0.00015431
Lu[83]  5.81696e-005 0.000457648 -0.000630843
Lu[84]  0.000213485 0.000551446 -0.000638324
Lu[85]  0.000206073 0.00057965 -0.000327279
Lu[86]  0.000381385 0.000815028 -0.000275827
Lu[87]  0.000326478 0.00081662 -0.00039403
Lu[88]  0.000344256 0.000713289 -0.000412162
Lu[89]  0.000176965 0.000858262 -0.000617458
Lu[90]  3.04962e-005 0.00095691 -0.000675266
Lu[91]  -0.000346562 0.000974375 -0.000691997
Lu[92]  -0.001579 -0.000865218 0.000423453
Lu[93]  0.000515755 0.000105327 -0.00209603
Lu[94]  0.000580584 -0.00040086 -0.00200019
