Interior vertex normals: 
-0.870593 0.129258 -0.474722
-0.889245 -0.0233032 -0.456837
-0.852605 -0.122218 -0.508063
-0.985345 -0.168443 -0.0268691
-0.922066 -0.337453 -0.189527
-0.955399 0.259956 -0.14013
-0.116035 0.963175 0.242548
-0.0321965 0.921521 0.386991
-0.257177 0.880768 0.397628
0.178885 0.874976 0.449909
0.390481 0.842884 0.370232
0.512559 0.71893 0.469492
-0.257177 0.880768 0.397628
0.119417 0.868563 0.480976
-0.23784 0.763146 0.600866
-0.665847 0.508388 0.546067
-0.16127 0.724846 0.669768
-0.553996 0.755604 0.349501
-0.0825832 0.993583 0.0772805
-0.173894 0.982466 0.0672469
-0.0883689 0.979468 0.181201
0.433832 0.883787 0.175243
0.684198 0.608181 0.402478
0.761987 0.627324 0.160748
-0.838394 -0.544867 0.0146502
-0.807986 -0.573525 0.135009
-0.926616 -0.366386 -0.0845206
0.41651 -0.875338 -0.245566
-0.0232783 -0.910338 -0.41321
0.669343 -0.72462 -0.164033
-0.918884 -0.388278 0.0699466
-0.997821 -0.0366284 0.0548774
-0.99011 -0.116202 -0.0786039
0.729643 0.613408 0.302246
0.62707 0.622148 0.468737
0.849391 0.29702 0.43625
-0.553859 0.832226 -0.0253176
-0.621729 0.745795 -0.239255
-0.440136 0.85262 0.281636
-0.173894 0.982466 0.0672469
-0.216227 0.949084 0.229096
-0.0883689 0.979468 0.181201
-0.759979 -0.638771 -0.12001
-0.838394 -0.544867 0.0146502
-0.866647 -0.456713 -0.200839
0.282673 0.896741 0.340516
-0.101069 0.918197 0.383014
0.282681 0.867047 0.410269
0.787557 0.554975 0.267874
0.747127 0.564501 0.350915
0.826565 0.472039 0.306545
0.734143 0.567561 0.372705
0.65295 0.710308 0.262905
0.859304 0.480798 0.174444
-0.322387 0.311126 -0.894017
-0.823206 0.101076 -0.558673
-0.0828739 -0.970809 -0.225084
0.490373 0.831613 0.260679
0.26976 0.913049 0.305893
0.282673 0.896741 0.340516
0.696066 0.684925 0.215335
0.494048 0.827136 0.267885
0.490373 0.831613 0.260679
0.426572 0.780664 0.456728
0.237933 0.848703 0.472326
0.642076 0.672206 0.368616
0.282681 0.867047 0.410269
-0.101069 0.918197 0.383014
-0.151396 0.890877 0.428273
-0.425673 0.402442 -0.810459
-0.172521 0.181535 -0.968133
-0.138574 0.207517 -0.968367
0.26976 0.913049 0.305893
-0.101069 0.918197 0.383014
0.282673 0.896741 0.340516
-0.322069 0.892852 0.314782
-0.329357 0.878606 0.345797
-0.319659 0.820303 0.474258
-0.929841 0.367856 -0.00877675
-0.958256 0.26231 0.113753
-0.923486 0.377436 -0.0686767
-0.17843 0.935617 -0.304604
-0.211874 0.966324 -0.14604
-0.143036 0.97935 -0.142875
-0.800372 -0.502499 -0.326953
-0.801926 0.363432 -0.474164
-0.80901 -0.0323705 -0.586903
-0.907215 -0.418341 -0.0441825
-0.99641 -0.00956333 -0.0841173
-0.978743 -0.07579 0.190572
-0.871774 -0.420483 0.251402
-0.947377 -0.270201 0.171664
-0.807986 -0.573525 0.135009
-0.213627 0.976105 -0.039792
-0.130884 0.991176 -0.0209419
-0.143036 0.97935 -0.142875
-0.211874 0.966324 -0.14604
-0.213627 0.976105 -0.039792
-0.143036 0.97935 -0.142875
-0.331166 0.908345 -0.255418
-0.214896 0.731802 -0.64675
-0.402317 0.866221 -0.296314
-0.0321965 0.921521 0.386991
0.119417 0.868563 0.480976
-0.257177 0.880768 0.397628
-0.229259 0.96697 -0.111396
-0.203856 0.978827 -0.0184655
-0.0780266 0.996255 -0.0372469
-0.402881 0.384155 -0.83073
-0.360162 -0.0740321 -0.929947
-0.154972 0.0500549 -0.98665
-0.97276 0.223023 -0.063231
-0.94976 0.312945 -0.00453079
-0.955399 0.259956 -0.14013
-0.17843 0.935617 -0.304604
-0.143036 0.97935 -0.142875
-0.104286 0.940821 -0.322461
